sample,treatment_column,treatment_definition,common_support_sample,estimate_mph,std_error,p_value,ci_low,ci_high,rows,routes,treated_routes,control_routes
weekday_all_periods,any_intersection,GeoJSON any policy-date route shape intersects CBD,True,0.1413982851965077,0.04768173533980886,0.0030223051513775176,0.047942083930482354,0.23485448646253307,17815,263,81,182
weekday_all_periods,max_share_ge_05pct,GeoJSON max shape share in CBD >= 5%,True,0.14200605906334943,0.04869142741721248,0.003540407322619743,0.04657086132561296,0.2374412568010859,17815,263,79,184
weekday_all_periods,max_share_ge_10pct,GeoJSON max shape share in CBD >= 10%,True,0.1586835442750772,0.05017594909089668,0.0015639819598215682,0.06033868405691971,0.25702840449323466,17815,263,75,188
weekday_all_periods,max_share_ge_25pct,GeoJSON max shape share in CBD >= 25%,True,0.06475961205814842,0.07277641607135936,0.3735499898195894,-0.07788216344171592,0.20740138755801277,17815,263,33,230
weekday_all_periods,max_share_ge_50pct,GeoJSON max shape share in CBD >= 50%,True,0.016518577669918842,0.024377566602149604,0.49801653852781635,-0.03126145287029438,0.06429860821013206,17815,263,22,241
weekday_all_periods,max_share_ge_80pct,GeoJSON max shape share in CBD >= 80%,True,0.0305054066510628,0.026635157248295856,0.2520824020571162,-0.02169950155559708,0.08271031485772268,17815,263,15,248
all_day_types_all_periods,any_intersection,GeoJSON any policy-date route shape intersects CBD,True,0.13242309527671037,0.044452681764468385,0.0028922143175239344,0.04529583901835234,0.2195503515350684,33827,263,81,182
all_day_types_all_periods,max_share_ge_05pct,GeoJSON max shape share in CBD >= 5%,True,0.13521784489515573,0.045492984180433335,0.0029559786211115283,0.0460515959015064,0.22438409388880506,33827,263,79,184
all_day_types_all_periods,max_share_ge_10pct,GeoJSON max shape share in CBD >= 10%,True,0.15298303915670985,0.04589605548208569,0.0008583769270233937,0.0630267704118219,0.2429393079015978,33827,263,75,188
all_day_types_all_periods,max_share_ge_25pct,GeoJSON max shape share in CBD >= 25%,True,0.10497078097350408,0.06634112616560413,0.11358379373972763,-0.025057826311080014,0.2349993882580882,33827,263,33,230
all_day_types_all_periods,max_share_ge_50pct,GeoJSON max shape share in CBD >= 50%,True,0.055582427114359734,0.025556398569904545,0.029638150976741613,0.005491885917346825,0.10567296831137264,33827,263,22,241
all_day_types_all_periods,max_share_ge_80pct,GeoJSON max shape share in CBD >= 80%,True,0.07619357299788336,0.02915503881233721,0.008964816218584633,0.01904969692570243,0.13333744907006428,33827,263,15,248
weekday_peak,any_intersection,GeoJSON any policy-date route shape intersects CBD,True,0.1623110654670318,0.0454300132457455,0.00035322269523333725,0.07326823950537063,0.25135389142869297,8867,263,81,182
weekday_peak,max_share_ge_05pct,GeoJSON max shape share in CBD >= 5%,True,0.16243946840381407,0.046378955056281757,0.0004610190567605219,0.07153671649350182,0.25334222031412634,8867,263,79,184
weekday_peak,max_share_ge_10pct,GeoJSON max shape share in CBD >= 10%,True,0.18067524301870352,0.0476588175935518,0.00015003351745208017,0.08726396053534201,0.274086525502065,8867,263,75,188
weekday_peak,max_share_ge_25pct,GeoJSON max shape share in CBD >= 25%,True,0.0741896730182219,0.06594232668486671,0.26055976123688696,-0.055057287284116865,0.20343663332056067,8867,263,33,230
weekday_peak,max_share_ge_50pct,GeoJSON max shape share in CBD >= 50%,True,0.006139880588658293,0.024748082257287696,0.8040607440307946,-0.042366360635625586,0.05464612181294218,8867,263,22,241
weekday_peak,max_share_ge_80pct,GeoJSON max shape share in CBD >= 80%,True,0.012827590404927158,0.02807413715788346,0.6477296834316202,-0.042197718424524425,0.06785289923437873,8867,263,15,248
weekday_off_peak,any_intersection,GeoJSON any policy-date route shape intersects CBD,True,0.11968701979695756,0.054410061921038665,0.027826612449271895,0.013043298431721778,0.22633074116219334,8948,263,81,182
weekday_off_peak,max_share_ge_05pct,GeoJSON max shape share in CBD >= 5%,True,0.12076396216457919,0.05558423508421102,0.02980819575038507,0.01181886139952558,0.22970906292963278,8948,263,79,184
weekday_off_peak,max_share_ge_10pct,GeoJSON max shape share in CBD >= 10%,True,0.13586816112696876,0.057444975368102294,0.018020924831985082,0.023276009405488268,0.24846031284844924,8948,263,75,188
weekday_off_peak,max_share_ge_25pct,GeoJSON max shape share in CBD >= 25%,True,0.05509416040927162,0.08400236583451118,0.5119113822648862,-0.1095504766263703,0.21973879744491354,8948,263,33,230
weekday_off_peak,max_share_ge_50pct,GeoJSON max shape share in CBD >= 50%,True,0.026651617901972124,0.026386579245436245,0.31247399477957216,-0.025066077419082913,0.07836931322302716,8948,263,22,241
weekday_off_peak,max_share_ge_80pct,GeoJSON max shape share in CBD >= 80%,True,0.047943205878015704,0.027545572823479563,0.08177039147010941,-0.006046116856004237,0.10193252861203564,8948,263,15,248
